feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
APOA4	39.6864123891415	-5.41036077218746	0.589342746382649	-9.18032979178235	4.29773162343116e-20	5.42545640141949e-16	APOA4
SERPINA1	21.2187697109708	-3.18556792105955	0.380925971643154	-8.36269553193853	6.13012689497878e-17	3.86933609611061e-13	SERPINA1
KCNMA1	67.1264273020463	3.20886088966274	0.417427999761549	7.68722005111246	1.5036639001154e-14	6.3274176916856e-11	KCNMA1
ANGPTL3	24.0216892928964	-5.1287696598314	0.682082675009296	-7.51927859736579	5.50793052304512e-14	1.73830287307304e-10	ANGPTL3
VTN	12.8003565589582	-2.92891865030037	0.414023951411958	-7.07427345763886	1.50233773667937e-12	3.79310231756809e-09	VTN
APOB	528.451588544157	-3.43188786108604	0.493095826206288	-6.95988016668041	3.40562298717463e-12	7.16543076501542e-09	APOB
AHSG	33.8389038523527	-3.44858359220686	0.517293642586198	-6.66658800399274	2.61818721533842e-11	4.72171362949032e-08	AHSG
CACNA1D	18.2784865938829	-3.14259958951194	0.480027342378582	-6.54670955604332	5.88185955931791e-11	9.28157438460366e-08	CACNA1D
HKDC1	14.5167162862027	-4.29823663937327	0.668736081904809	-6.42740350891535	1.2980193606321e-10	1.48965421896542e-07	HKDC1
MUM1L1	39.2698367484751	-4.20800004895014	0.653759139528042	-6.43662137096539	1.22162158237005e-10	1.48965421896542e-07	MUM1L1
TANC2	30.4145312417759	2.04179676706033	0.316372066409787	6.45378332616651	1.09091755774081e-10	1.48965421896542e-07	TANC2
LYPD6	15.2579389268334	2.16862405819872	0.345951434281593	6.26857946897115	3.6435666061131e-10	3.83303206963098e-07	LYPD6
VTCN1	29.9937330095416	3.23394570528933	0.518896645327692	6.23235038115739	4.59488323010704e-10	4.4619850689901e-07	VTCN1
ADAMTS18	16.1343766148991	2.25916185268334	0.369791583426194	6.10928413175808	1.0007901913127e-09	9.02426812509395e-07	ADAMTS18
AMOT	21.9168627056888	1.84133867133335	0.303835640098676	6.06031165644473	1.35858050361018e-09	1.00886589868087e-06	AMOT
ASAP1	595.77517343338	4.60505749556424	0.758605347654203	6.07042582787509	1.27571527088592e-09	1.00886589868087e-06	ASAP1
TFP1;TF	42.3887674675866	-2.82391357438471	0.465296788848963	-6.06905880732687	1.2866203097476e-09	1.00886589868087e-06	TFP1;TF
SLC10A1	4.19817224378615	-5.04697371251746	0.835995859154987	-6.03707979800148	1.5692813134657e-09	1.10058929451061e-06	SLC10A1
EYA1	15.1431919538679	2.29133646155832	0.385838608046955	5.9385878286174	2.87487626078779e-09	1.91012831137816e-06	EYA1
SERPINA7	110.997304318273	-4.88988602060636	0.826535762082973	-5.91612153391069	3.29621690003016e-09	2.08057210729903e-06	SERPINA7
PAGR1	450.973650284487	-4.68740907874508	0.794714633859704	-5.89822922472142	3.6742330960294e-09	2.20873898115596e-06	PAGR1
UNC5C	44.085399686313	2.19772410857901	0.374797811819375	5.86375917700969	4.52503640303963e-09	2.59654816145329e-06	UNC5C
ACSL5	7.035367755156	-5.80690875827482	0.991811980310881	-5.85484837202174	4.77445409760921e-09	2.62055254470516e-06	ACSL5
GPC3	498.342462744522	-1.82494072126267	0.314683022847696	-5.79929830579364	6.65929797354204e-09	3.50279073408312e-06	GPC3
AC009264.1	14.6784045971531	3.64827265280329	0.634931125656337	5.74593448861405	9.14146972126931e-09	4.61607655045215e-06	AC009264.1
ACAA1	52.4715068437338	-1.75369741278322	0.306752416879872	-5.71697993652642	1.08433914134763e-08	5.26488358475866e-06	ACAA1
PLG	5.87981741844951	-3.06470304393447	0.537501749733832	-5.70175454396585	1.18580496347883e-08	5.54429698479881e-06	PLG
