feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ALB	137.998319405672	4.0122916536086	0.695887903484923	5.76571547445433	8.13121396337811e-09	3.29395477656447e-05	ALB
ABBA01017803.1	164.736294945032	5.79507049784197	1.04961263795924	5.52115160227999	3.36785041031403e-08	6.20157594350916e-05	ABBA01017803.1
DCN	37.8881136914114	4.23419860137839	0.77458605070907	5.46640182521016	4.59262597643236e-08	6.20157594350916e-05	DCN
TNRC6A	106.229807587172	3.58484845764218	0.693068971319194	5.17242670786248	2.31073147625526e-07	0.000234019330257752	TNRC6A
SERPINA7	158.150229857123	4.25132237352411	0.865609055531224	4.91136540954401	9.04443589054969e-07	0.000732780195852336	SERPINA7
FAM50A	184.921695726026	-3.27040594928088	0.674895625401755	-4.84579515141183	1.26105581751647e-06	0.000851422852793206	FAM50A
ATP6AP1	88.4600091970146	-2.63990774849179	0.555117673551567	-4.75558223827036	1.97875286886019e-06	0.000890658652416959	ATP6AP1
BICC1	351.892975597054	-5.90109205070302	1.23817712589831	-4.76595143560073	1.8796453370817e-06	0.000890658652416959	BICC1
IL13RA1	55.5979633416501	3.95947341944043	0.828150250568726	4.78110513970295	1.74334149982027e-06	0.000890658652416959	IL13RA1
RPL11	233.297901868626	-1.97103100448779	0.458303972358402	-4.30070678712426	1.70254212767212e-05	0.00689699815919978	RPL11
COL15A1	14.3687927378419	4.9649783478146	1.1631050041403	4.26872752687057	1.96591233224519e-05	0.00723991896175023	COL15A1
CYP51A1P2	28.2345231016658	2.53141047170332	0.606739911972645	4.17215090313268	3.01737684455068e-05	0.0101861613310623	CYP51A1P2
MMD	34.3201978182966	4.57966669120299	1.11653151437305	4.10169048723586	4.10142660294611e-05	0.0110431758708168	MMD
R3HCC1L	147.491495230072	-3.82754236336122	0.939655747324536	-4.07334534403616	4.63426289320874e-05	0.0110431758708168	R3HCC1L
SETD6	54.8058306285482	3.91912653269938	0.95497974339629	4.1038844643567	4.06270410839252e-05	0.0110431758708168	SETD6
SRCAP	27.5906244691459	-4.36613217208063	1.07003796978515	-4.08035256258924	4.49674442592248e-05	0.0110431758708168	SRCAP
TTN	226.244867687854	-1.88790067503426	0.458560950187582	-4.1170114338388	3.83817038296252e-05	0.0110431758708168	TTN
EGFL6	19.2677682605229	7.02503170338057	1.74126025027386	4.03445246181648	5.47297685206658e-05	0.0123172384598454	EGFL6
KLK6	33.6578255533575	5.07976861877267	1.26335723262892	4.02084896304601	5.79887775974475e-05	0.012363817791961	KLK6
HGD	16.0794192975964	3.29782123465476	0.823700891677581	4.00366354823083	6.23690487495681e-05	0.012632850824225	HGD
ANKRD39	41.1250536608572	3.68106115254735	0.93182946193881	3.95035926948302	7.80339703029661e-05	0.0137441571172746	ANKRD39
PAGR1	1187.29437526624	4.51292621119349	1.13966813513097	3.95985995578866	7.49937286252125e-05	0.0137441571172746	PAGR1
SPTLC3	19.0276045936124	-3.79347249307312	0.956445437296337	-3.96621944665912	7.30216360641273e-05	0.0137441571172746	SPTLC3
CEACAM1	21.1018134671247	4.73296251821739	1.24828171358598	3.79158203369082	0.000149690686510685	0.0249658691841435	CEACAM1
MKL1	111.70210415709	2.97979577482782	0.789423937816325	3.7746458298065	0.000160235151515115	0.0249658691841435	MKL1
POTEKP;RP11-433A19.2	13.7992067185127	7.52001088075326	1.98763242237386	3.78340119435765	0.000154699752808737	0.0249658691841435	POTEKP;RP11-433A19.2
SEMA6D	56.0328207379732	2.4524047204271	0.65188138595347	3.76204133646202	0.000168532184605159	0.0252860696235369	SEMA6D
RPP14	49.9979167730292	-3.85815921192222	1.0294705486444	-3.74771208074151	0.000178454931057484	0.025818604489781	RPP14
