feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
AHNAK	385.62656190931	5.14368437879001	0.319242103705039	16.1121741746899	2.09525431718791e-58	2.52792433368721e-54	AHNAK
IGF2	537.76214240808	8.27283017169899	0.577131914025212	14.3343834756946	1.33426166337755e-46	8.04893348432505e-43	IGF2
CAPN2	115.922725601537	5.87957797179969	0.463010501333488	12.6985844918555	6.0208860959619e-37	2.42139969159268e-33	CAPN2
IGF2;INS-IGF2	329.204241567246	8.88633372710798	0.821702718907162	10.8145361121922	2.93775144759433e-27	8.86099280380639e-24	IGF2;INS-IGF2
TGFBI	62.7825171774302	6.41382017615308	0.610359441892308	10.5082673191197	7.9134046938719e-26	1.90950455263129e-22	TGFBI
COL1A2	129.052053192046	4.64551351256666	0.446527414061782	10.4036468227321	2.38622149849934e-25	4.79829372989909e-22	COL1A2
COL3A1	462.568408312269	8.83043453482357	0.857372145691221	10.299418495459	7.08885137394765e-25	1.22181416895255e-21	COL3A1
MALAT1	859.322664740881	1.92079947344005	0.189463325276335	10.1381070486256	3.74281847980772e-24	5.64463811986002e-21	MALAT1
SEMA5A	60.3595233139777	3.87915696353182	0.389728378562249	9.95348857540848	2.43494571165746e-23	3.26418000123859e-20	SEMA5A
PDE4D	58.2685460288612	5.06174584999739	0.53331652500285	9.49107258577885	2.2866910263153e-21	2.7588927232494e-18	PDE4D
COL6A3	273.317144305204	8.31669847387865	0.880329738214732	9.44725381053755	3.47836577366122e-21	3.81513482356569e-18	COL6A3
PDZRN3	59.1218444228012	3.93630989153697	0.419390127449572	9.38579531062109	6.24433842233476e-21	6.27816192212241e-18	PDZRN3
ARHGAP29	63.0280013088301	4.62113382971053	0.512648543961013	9.01423379457012	1.98251422989242e-19	1.83992570643477e-16	ARHGAP29
ANKS1A	110.25031407362	3.77394899924444	0.428370847991173	8.81000426836282	1.25141094308505e-18	1.07844807345151e-15	ANKS1A
IGFBP5	46.1969024494608	6.21982886457571	0.714858545623972	8.7007826970113	3.29602880257833e-18	2.6511058335405e-15	IGFBP5
CDK6	77.5265599615822	4.29509227332577	0.494893766429583	8.67881667678454	3.99907689109105e-18	3.01555391818835e-15	CDK6
ADAMTS6	33.858243680661	6.042711680643	0.698626561220856	8.64941589120703	5.1763691077441e-18	3.67369960499603e-15	ADAMTS6
COL4A2	277.938120888089	3.35622577984709	0.402902677873576	8.33011534587072	8.07636275380166e-17	5.41340647914539e-14	COL4A2
FN1	703.462059393174	3.39299245143452	0.42875715004867	7.9135530475687	2.50145179954106e-15	1.57914250854936e-12	FN1
VTCN1	25.0601377414272	7.43368963855446	0.94003365181601	7.90789736536946	2.61772483804287e-15	1.57914250854936e-12	VTCN1
MID1	42.9549152858216	2.15672491414471	0.281934766068697	7.64973026994195	2.01401318658292e-14	1.1570985283868e-11	MID1
GABRP	36.7775608990102	8.390076906817	1.11175899896258	7.54666876062715	4.46532354790921e-14	2.44882402752385e-11	GABRP
IGFBP3	100.344146428021	7.09907533510949	0.961239764921864	7.38533256131633	1.52072801982722e-13	7.97721024313713e-11	IGFBP3
CLSTN2	34.9826180895384	7.48788728174313	1.01556524179928	7.37312284189328	1.66676770928286e-13	8.04382096499907e-11	CLSTN2
PTN	56.4523880215698	4.79873576519648	0.650431245258932	7.37777559146338	1.60955959212896e-13	8.04382096499907e-11	PTN
COL5A1	105.602529887973	8.35800048035466	1.13658364700376	7.35361669366605	1.92914433191588e-13	8.9519716786789e-11	COL5A1
SEMA6D	48.5481716651711	4.75558050041533	0.649448104211306	7.32249500703453	2.43402375632754e-13	1.08764802296636e-10	SEMA6D
PCDH7	79.4411163162364	5.47507169914256	0.758862220613936	7.21484289297352	5.39962805652112e-13	2.32666116078312e-10	PCDH7
MPZL1	70.8233119264798	1.96315537551301	0.273978630311651	7.16535947814585	7.75827014041611e-13	3.22770790496967e-10	MPZL1
FBN1	63.5360001297766	4.93298255366208	0.703697663237404	7.01008801275194	2.38168254823718e-12	9.57833331482719e-10	FBN1
NUPL1	28.4885434414385	-3.85393610215279	0.551546220410618	-6.98751248677509	2.79802678556616e-12	1.08897397315664e-09	NUPL1
LRP2	37.1988232645293	4.86254978749322	0.700308736136981	6.94343728212766	3.82672544069862e-12	1.4427950763134e-09	LRP2
RP11-120I21.2	37.5706338930267	9.74016912777489	1.40584323905848	6.92834653051221	4.25787736249117e-12	1.55670576904412e-09	RP11-120I21.2
ADAMTS9	66.1845730788973	9.37281803226988	1.35633507751711	6.9104000830146	4.83288738343794e-12	1.66596532231939e-09	ADAMTS9
COL12A1	20.9781631137479	6.22104046926888	0.899815599529758	6.91368372866617	4.72227374348785e-12	1.66596532231939e-09	COL12A1
PRTG	31.7706213227655	7.25810364626838	1.05243087912188	6.89651338653645	5.32943454965956e-12	1.78610077337896e-09	PRTG
SSFA2	21.810693258435	5.38957082094153	0.784064129981189	6.87389030419086	6.24742561652924e-12	2.03716729901149e-09	SSFA2
LUM	104.029332097233	9.39773836469942	1.37877229177225	6.81601916486134	9.3597815459815e-12	2.97173064084913e-09	LUM
ZFPM2	34.3658645623801	5.40368936577322	0.795031606509362	6.79682332316129	1.0695112148273e-11	3.29884321079215e-09	ZFPM2
