feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
FN1	828.950498287369	5.38009588714862	0.219626853311687	24.4965303924533	1.60841502761583e-132	2.35954484551243e-128	FN1
AHNAK	409.849454196367	5.13783548591559	0.271983388314385	18.8902547238539	1.37182238774294e-79	1.00623172140945e-75	AHNAK
COL3A1	2418.19830483927	10.1791957645597	0.561635067369914	18.1242168731164	2.05244421129198e-73	1.00364521932178e-69	COL3A1
IGF2	896.579640804218	8.91574719765133	0.501146962716382	17.7906838930541	8.34551039423368e-71	3.0607159370852e-67	IGF2
COL1A1	257.479940688682	7.15140350907383	0.460414155104499	15.5325448398751	2.08921577555206e-54	6.12975908546975e-51	COL1A1
CCNB1	134.668222528406	-2.85163712336307	0.19600460211976	-14.548827387332	5.94127471622401e-48	1.45264166811677e-44	CCNB1
CENPF	73.1029236898174	-4.01607018272503	0.288261165574543	-13.9320542006429	4.04550413047443e-44	8.47822079915142e-41	CENPF
COL4A2	330.997727080046	4.48722224198043	0.323237383329246	13.8821264909504	8.12957979648884e-44	1.49076169518114e-40	COL4A2
GPC3	395.599489884831	5.24744353720763	0.383067522992766	13.6984819183085	1.03669128706756e-42	1.68980679792013e-39	GPC3
DLGAP5	57.9304131087679	-3.42235066119771	0.264945408624946	-12.9171918055102	3.60043607712606e-38	5.28183972514393e-35	DLGAP5
COL5A2	90.4657392578089	4.87167699864478	0.377948731325365	12.8897826474006	5.13884362339465e-38	6.85334872319996e-35	COL5A2
CAPN2	109.495155157549	5.72986498579088	0.445972396801324	12.848026081631	8.82330083276695e-38	1.07864852680576e-34	CAPN2
RBMS3	49.0097844880983	4.68549253302659	0.369737684700135	12.6724776156551	8.4018104869618e-37	9.4811199879792e-34	RBMS3
MALAT1	4706.0583583482	2.83158129397231	0.223630189979125	12.6618919128791	9.61537945527026e-37	1.00755440434868e-33	MALAT1
IPO5	77.6544721102041	-2.65754909416381	0.210922804088719	-12.5996290711458	2.12139802379748e-36	2.07472726727394e-33	IPO5
PTPRM	67.0384900619216	4.21225095071449	0.339207211191913	12.4179286634662	2.08900214682041e-35	1.91535384336597e-32	PTPRM
HELLS	55.1506203911762	-3.60952152413692	0.291600733735954	-12.3783005546391	3.42518797199124e-35	2.95573573818303e-32	HELLS
IL6ST	86.574991898107	5.27969669057647	0.427003480539982	12.3645284668402	4.06590229294208e-35	3.31371036874779e-32	IL6ST
COL1A2	117.387721641009	4.72877467319992	0.389352544923954	12.145226055023	6.08142802315957e-34	4.69550258419741e-31	COL1A2
CTSB	143.372620009043	4.98061252493264	0.415012527255024	12.0011136961947	3.50547389168211e-33	2.57126509954883e-30	CTSB
MSH2	91.3538176331345	-2.73483571968132	0.23224939738495	-11.7754265478173	5.22521184747763e-32	3.6501837048808e-29	MSH2
LPP	69.8231416820114	2.47587175780289	0.210393651183641	11.7678064137108	5.71923437961789e-32	3.81368947040884e-29	LPP
CLEC2D	109.215997685659	-2.4810687806936	0.212500499070906	-11.6755903705701	1.698822051924e-31	1.08355302181413e-28	CLEC2D
ABCA1	52.0120036946832	4.20420022133991	0.36027060814774	11.6695620632362	1.82359551626877e-31	1.11467275931929e-28	ABCA1
TERF1	69.9576021815929	-4.36075202630159	0.373838753420786	-11.6647939423049	1.92869480874459e-31	1.13175811377132e-28	TERF1
IGF2;INS-IGF2	392.29824925235	9.1022268433306	0.785096317317916	11.5937709075315	4.43182102608947e-31	2.50056978664356e-28	IGF2;INS-IGF2
NPM1	345.310318086631	-2.64607740754333	0.228510863675498	-11.57965693614	5.22547512394722e-31	2.83917481734465e-28	NPM1
TTC3	73.6040839923536	3.55596836518163	0.308127146049931	11.5405877436238	8.23605314237284e-31	4.3151035570932e-28	TTC3
UACA	86.0023328546347	3.06448854474359	0.265661489912914	11.535313401081	8.75676769202915e-31	4.42971662214026e-28	UACA
DEK	108.237775055182	-2.38926491587812	0.209184321855071	-11.4218163899179	3.25361824527356e-30	1.59101932193877e-27	DEK
ARHGAP10	83.4166175616184	2.94598514620994	0.258710793916297	11.3871752377022	4.84440801225886e-30	2.29249888838185e-27	ARHGAP10
KRT8	487.055092889221	2.62479148780388	0.230582784897881	11.3832933753764	5.06501374786661e-30	2.3219922400376e-27	KRT8
FBN1	49.5255877171399	6.07775618400006	0.540267819756298	11.2495247019184	2.32843388507338e-29	1.03509469981898e-26	FBN1
MCM4	66.9441223293376	-3.26755564281809	0.292339703080931	-11.1772558033744	5.2694262686157e-29	2.27360245178213e-26	MCM4
CAMK2D	54.180344047303	4.38028731930246	0.392522405018344	11.1593306860987	6.44751442173355e-29	2.70242961619518e-26	CAMK2D
LAMB1	73.650965667988	2.7513784249406	0.247523772654908	11.1156128376264	1.05324968658045e-28	4.29199247281535e-26	LAMB1
COL4A1	81.6110462214355	3.23103943844251	0.291949444447992	11.0671196670768	1.81129063117828e-28	7.18152258361765e-26	COL4A1
RPS27A	82.9318823946403	-2.44291921933347	0.223474992583581	-10.9315104616003	8.14807073402829e-28	3.14558414916302e-25	RPS27A
RP11-968A15.8;HNRNPA1	110.365957145932	-2.2874471185192	0.210230115256485	-10.8806824166389	1.42492176400422e-27	5.35989801998511e-25	RP11-968A15.8;HNRNPA1
APLP2	474.775297894499	2.1931953269844	0.202004918339477	10.8571382568946	1.84438751716702e-27	6.76429121921003e-25	APLP2
MAGED1	74.3822285284172	3.11824944036714	0.288042700948758	10.8256499126561	2.60226395186135e-27	9.3110273594649e-25	MAGED1
AUTS2	78.829924219907	2.519602134715	0.233466028580735	10.7921574287785	3.74884032644366e-27	1.30941637116496e-24	AUTS2
FREM1	34.7920765535833	4.61759170851159	0.429858474797319	10.742120905465	6.45443181076763e-27	2.20201196892933e-24	FREM1
