feature	baseMean	log2FoldChange	stat	pvalue	padj	symbol
AHNAK	385.62656190931	0.638702757953521	13.6624899266127	1.70067568239418e-42	2.14523230577202e-38	AHNAK
IGF2	537.76214240808	-0.104327402347798	13.381813570033	7.72394495625433e-41	4.87149208390961e-37	IGF2
CAPN2	115.922725601537	2.15089479860525	12.4452334934664	1.48449617590437e-35	6.24181158761925e-32	CAPN2
CENPF	77.6846989438869	4.7272353283843	-12.0354758454811	2.3129653592137e-33	7.29393626028041e-30	CENPF
GPC3	417.531291256745	6.54820549313728	11.6571995536024	2.10864101387594e-31	5.31967954980623e-28	GPC3
COL3A1	462.568408312269	0.0509645703509877	11.4260956350347	3.09724411915287e-30	6.51143955316571e-27	COL3A1
IGF2;INS-IGF2	329.204241567246	-2.89458061897164	11.1972610060405	4.20534948240529e-29	7.57803976729434e-26	IGF2;INS-IGF2
COL1A2	129.052053192046	-2.90223968505366	10.143379382144	3.54615276635206e-24	5.59139637434561e-21	COL1A2
L1TD1	156.056506537006	-1.17176992432525	-9.9355498245239	2.91562975098987e-23	4.08641707544291e-20	L1TD1
APOB	439.930049400434	-0.140853878663749	9.84457866317703	7.23416999751128e-23	9.12518203486073e-20	APOB
MALAT1	859.322664740881	0.0509645703509879	9.44442104938146	3.57374441147565e-21	4.09811018239581e-18	MALAT1
PTPRM	109.498629769538	0.206256543049774	9.15735704544969	5.31838693206825e-20	5.59051106342574e-17	PTPRM
COL6A3	273.317144305204	0.374978082878056	9.11958357052077	7.54135409212463e-20	7.31743388600462e-17	COL6A3
COL5A2	95.1984189427165	-1.1365629851498	9.06164908734239	1.28492992188159e-19	1.15772185961531e-16	COL5A2
TTC3	95.8345685995331	-0.263017688831716	8.99321160303023	2.40109366914181e-19	2.01915970283699e-16	TTC3
AFP	573.128663058251	-0.104327402347797	8.67355844530703	4.18822026904246e-18	3.30188815460635e-15	AFP
ABCA1	65.2015234819863	0.516840488447345	8.6013508792476	7.8783218274063e-18	5.84571479593548e-15	ABCA1
MDN1	141.065836466261	0.206256543049773	-8.59254381754478	8.50647117039796e-18	5.96114596352221e-15	MDN1
PCDH7	79.4411163162364	0.0509645703509877	8.50731503474232	1.78007385817916e-17	1.18178166563537e-14	PCDH7
PDZRN3	59.1218444228012	-0.259619375046584	8.49298929041482	2.01388863857371e-17	1.27015956434844e-14	PDZRN3
RBMS3	82.6950209479737	0.0509645703509877	8.4575514749764	2.73050025038238e-17	1.64012048372968e-14	RBMS3
IGFBP3	100.344146428021	0.0509645703509879	8.40089775137709	4.43078080889137e-17	2.42999430971112e-14	IGFBP3
PID1	24.1993535454771	-1.3983822403421	8.40211595645537	4.38504510082639e-17	2.42999430971112e-14	PID1
LAMC1	62.1672105195077	1.51088303495415	8.39551337853045	4.63862977728272e-17	2.43798650044351e-14	LAMC1
SEMA6D	48.5481716651711	-1.52706363924836	8.381942732648	5.20611649965581e-17	2.62679814106634e-14	SEMA6D
KALRN	31.84446831896	1.57057935685035	8.3307325374397	8.03436572087105e-17	3.89790343088721e-14	KALRN
GLIS3	40.3240506215797	1.04481097494505	8.30081182025308	1.03402365689071e-16	4.83080533630348e-14	GLIS3
NCL	186.069973616804	-0.394306209588957	-8.23738642827907	1.76013270285122e-16	7.92939782634473e-14	NCL
CDH11	100.430268925545	-0.133756742081827	8.2275357177699	1.91104155446473e-16	8.31237178207521e-14	CDH11
DNMT3B	81.5893288126192	-1.9876723757437	-8.17512632802669	2.95556040603363e-16	1.24271463205694e-13	DNMT3B
PDZRN4	35.7293804045195	-1.12231247645779	8.05942508054593	7.66541047458296e-16	3.11908024923837e-13	PDZRN4
COL4A2	277.938120888089	-1.56614512377184	8.05081915952074	8.22417131309301e-16	3.14362718010167e-13	COL4A2
LIN28A	63.4844215648457	-0.517402813204489	-8.0528744630737	8.0871842645047e-16	3.14362718010167e-13	LIN28A
FBN1	63.5360001297766	-0.301772471153262	8.01646922027639	1.0882818169453e-15	4.00852299760388e-13	FBN1
ZBTB20	29.7526234985066	0.166163096730334	8.0137925229242	1.11224278512871e-15	4.00852299760388e-13	ZBTB20
TGFBI	62.7825171774302	-2.48259535620517	7.97017439981637	1.58450601558869e-15	5.55193302239881e-13	TGFBI
FN1	703.462059393174	-0.0955008802722948	7.88073865504989	3.25451374909652e-15	1.10952530894874e-12	FN1
TPST1	28.1063566495355	0.0396926325173805	7.78706910799362	6.85814450486843e-15	2.27654302064238e-12	TPST1
COL4A6	47.7577253934692	0.206256543049773	7.76248765053209	8.32794833848788e-15	2.69355744465862e-12	COL4A6
NEAT1	79.8915839463586	0.599112843444049	7.75674996467386	8.71334774300262e-15	2.74775421075588e-12	NEAT1
TSC22D3	40.8581590123147	0.050964570350988	7.73024878480261	1.07336608024888e-14	3.3023023746974e-12	TSC22D3
COL5A1	105.602529887973	0.0509645703509882	7.72464347761039	1.12166836287189e-14	3.36874398315858e-12	COL5A1
NUPL1	28.4885434414385	3.64699259526951	-7.63296147601761	2.29421455905785e-14	6.73005173208273e-12	NUPL1
GRID2	121.05075316537	0.206256543049773	-7.54615701528343	4.48289540632672e-14	1.28516460580467e-11	GRID2
GHR	43.1728418752495	3.57796886430793	7.53580714475721	4.85323408324135e-14	1.3604154383557e-11	GHR
NASP	55.0239055782319	0.690405851710422	-7.5320934414705	4.99332029781238e-14	1.36925526601316e-11	NASP
AUTS2	110.374486459171	4.13712754571408	7.52919359695404	5.10546395275378e-14	1.37021962340503e-11	AUTS2
RP11-444D3.1	28.6557305246469	-0.680507729577329	7.48309456398254	7.25926070599263e-14	1.90767321969565e-11	RP11-444D3.1
LIFR	59.9320435228867	0.0509645703509879	7.4132813115672	1.23212142591255e-13	3.0474469934237e-11	LIFR
LSAMP	47.3372374957192	0.206256543049773	7.4167603009912	1.20019873223823e-13	3.0474469934237e-11	LSAMP
ZEB2	50.6377793444473	-0.948278274422929	7.41518720378785	1.21453128680271e-13	3.0474469934237e-11	ZEB2
SERPINA7	92.5658802635409	0.104830946997035	7.38531607533592	1.52091646697052e-13	3.61978119138984e-11	SERPINA7
UACA	131.999740196438	0.386986050493199	7.38707597429685	1.50092846268104e-13	3.61978119138984e-11	UACA
TDGF1	57.3038608620901	0.206256543049773	-7.36432331797401	1.78047693198109e-13	4.15906222592767e-11	TDGF1
LRP2	37.1988232645293	-0.554053662899027	7.334505745474	2.22541221285791e-13	5.10388175508903e-11	LRP2
SCMH1	28.1897801182436	-0.404378551282263	7.31886942960416	2.50068762832201e-13	5.63279888279532e-11	SCMH1
ALB	83.3470023427903	-0.529794401767392	7.28439470471717	3.23117724757479e-13	7.15053856156287e-11	ALB
ZFPM2	34.3658645623801	1.47492260596926	7.26918702973553	3.61657387218844e-13	7.86542462479051e-11	ZFPM2
SVEP1	28.785607213853	1.42434038781959	7.26426023354553	3.75085290889999e-13	8.01919637167194e-11	SVEP1
ARHGAP24	33.8178151401703	4.34687175219658	7.21488344362656	5.39801926032185e-13	1.134843582495e-10	ARHGAP24
LAMB1	78.6555669202708	0.126878944985131	7.17836395081179	7.0550546695393e-13	1.45889278035359e-10	LAMB1
PDE4D	58.2685460288612	-0.252233904624102	7.15641252940628	8.28156804873297e-13	1.68489837688254e-10	PDE4D
TBC1D16	49.7578787516088	-0.26627903283701	-7.14642303539304	8.90682902764646e-13	1.78334510086877e-10	TBC1D16
TUBB2B	67.3447074745256	0.531470531299896	-7.1436430316753	9.08892515384059e-13	1.79137034203977e-10	TUBB2B
