feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	
A1BG-AS1	0.618790676454478	1.2589385282997	2.53119293841206	0.497369643062252	0.61892840872869	NA	A1BG-AS1
A1BG-AS1;CTD-2619J13.5	0.0254620043163628	-0.646124060990838	6.00582262393133	-0.107582940997331	0.914326529553871	NA	A1BG-AS1;CTD-2619J13.5
A1BG;CTD-2619J13.8	1.85968262396184	2.9049012446126	1.55097065961431	1.87295692965267	0.0610743327795973	0.182505663557096	A1BG;CTD-2619J13.8
A1CF	4.91801682679564	6.46613329194654	1.60005365379662	4.04119779146384	5.31788809018765e-05	0.000910174224825332	A1CF
A2M	28.1963104532354	8.28219288427613	1.37535212069514	6.02187087921171	1.72412417283176e-09	1.51028488306249e-07	A2M
A2M-AS1	0.0694257147668654	0.315481134400448	6.0058226238974	0.0525292127584881	0.958107019045002	NA	A2M-AS1
A2ML1	1.03443278327122	-4.47757532058195	2.08396851510365	-2.14858107890332	0.0316676228946942	NA	A2ML1
A2ML1-AS1	17.9567409136952	-3.43649328662539	1.4840850469782	-2.31556358149593	0.0205821092358085	0.0853454683152589	A2ML1-AS1
A2MP1	1.03885549236635	-1.57226219477431	1.62083084365973	-0.970034720726469	0.332029185688196	NA	A2MP1
A2MP1;PTMAP4	9.3145738283263	-2.83825564569589	5.92593047736319	-0.478955272347172	NA	NA	A2MP1;PTMAP4
A3GALT2	0.19193552573872	0.315457742731932	6.00582262388114	0.0525253179269011	0.958110122386802	NA	A3GALT2
A4GALT	0.221167966216692	1.27720994725044	6.00582262386148	0.212661949451522	0.831590647776893	NA	A4GALT
AAAS	6.80162288811918	0.405169938742685	0.76044781446079	0.532804396354243	0.594168990232935	0.768465871300957	AAAS
AACS	4.55505075630294	-1.27303607726468	0.907029065582932	-1.40352291406067	0.160460963940531	0.344754658345402	AACS
AACS;RP11-158L12.4	0.291854972889164	-1.68450490281826	5.97043661119396	-0.282140991106075	0.777835403074377	NA	AACS;RP11-158L12.4
AACSP1	0.224622957901454	-0.646205296475182	6.00582262387581	-0.107596467119463	0.914315799552722	NA	AACSP1
AADAC	0.215834337501933	2.76785196426808	5.94779269536766	0.465357840468075	0.641675220260721	NA	AADAC
AADACL2-AS1	0.212454042201307	1.27722604741619	6.00582262392939	0.212664630208567	0.831588556666854	NA	AADACL2-AS1
AADACL2-AS1;RP11-64D22.1	0.0629059173339796	0.315499167100395	6.00582262393133	0.0525322152944093	0.958104626671075	NA	AADACL2-AS1;RP11-64D22.1
AADACL3	0.116269936447175	-1.40028259065223	5.98327980672108	-0.234032610188024	0.814959662283913	NA	AADACL3
AADACL4	0.0952747505283276	0.315485584054908	6.00582262391219	0.0525299536484481	0.958106428715369	NA	AADACL4
AADACP1	0.076305955598258	0.315498741363788	6.00582262392939	0.0525321444071169	0.958104683152963	NA	AADACP1
AADAT	11.0374499049567	-1.55809721134441	0.844024110388552	-1.84603400799431	0.0648872676564247	0.190124969620939	AADAT
AAED1	1.5890527959677	1.88275087859624	1.36671081752559	1.37757809073681	0.168333589200361	0.355433527648704	AAED1
AAGAB	18.3406065778776	-1.58095134937469	0.502381843161157	-3.14691179805944	0.00165004728317946	0.0132909938889053	AAGAB
AAK1	16.8555095073771	1.62230044639731	0.480959412652549	3.37305062281686	0.000743402836241592	0.00730887246792786	AAK1
AAMDC	2.34100327946156	1.28838034493874	1.24513035086069	1.03473531429714	0.300792539092356	0.511071806049431	AAMDC
AAMP	7.99489826461097	-0.424324763056293	0.6817798052481	-0.622378016758476	0.533693332038717	0.724495016179119	AAMP
AAR2	5.77562296931799	-0.153712926225008	0.890652605907975	-0.172584602801791	0.862977955463957	0.934750452982707	AAR2
AARD	0.725762095908949	-5.14151064030979	5.89670317598311	-0.871929701540825	0.383246729186599	NA	AARD
AARS	11.5424931860577	-1.15847321560359	0.498982917329094	-2.32166909000523	0.0202507605458214	0.0845363416122379	AARS
AARS2	3.31313685109727	-1.81588279243816	1.13265266397576	-1.60321239705045	0.108887769397203	0.269950928297233	AARS2
AARSD1;PTGES3L-AARSD1	4.36449196575766	-0.599744564382419	1.00143105171387	-0.598887525362835	0.549247890679824	0.735715158623063	AARSD1;PTGES3L-AARSD1
AASDH	5.49562110458028	-0.333907000186417	0.80961412407347	-0.412427340702021	0.680026226921278	0.825984672738084	AASDH
AASDHPPT	20.6271130791684	0.171593277524617	0.484935744947132	0.353847451569742	0.723453209893084	0.853661252534271	AASDHPPT
AASS	19.77281442655	-2.74161762310595	0.90073788509093	-3.0437463200842	0.00233652074757765	0.0171953749766304	AASS
AATF	32.656764083474	-0.0973015422805249	0.335604351611871	-0.289929322469141	0.771870308527075	0.885366197304767	AATF
AATF;RP11-333J10.3	0.405799982827044	0.315397270143377	6.00582262379591	0.0525152489342141	0.95811814520798	NA	AATF;RP11-333J10.3
AATK	0.125767948121211	1.27724339368677	6.00582262392939	0.212667518450806	0.831586303710446	NA	AATK
AB015752.3	2.82140628095197	0.736064440878993	1.2855419691215	0.572571303433988	0.566934994394175	0.748829111967343	AB015752.3
AB015752.3;LINC01030	0.332025153749513	0.315440284541197	6.00582262383501	0.052522411049791	0.958112438542109	NA	AB015752.3;LINC01030
ABALON	0.32632484055484	0.315423629916072	6.00582262383126	0.0525196379700697	0.95811464809003	NA	ABALON
ABAT	8.02753886510371	4.20168799775405	1.01768774384522	4.1286612943558	3.64881436395275e-05	0.00067093504937172	ABAT
ABAT;RN7SL743P;AC007224.1	0.0339807695339172	1.27727851193968	6.00582262393133	0.212673365818385	0.831581742509919	NA	ABAT;RN7SL743P;AC007224.1
