feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
chr1:152036972-152037060:-	416.131739587115	3.70461037320634	0.189895068500591	19.5087234358317	9.25648442719324e-85	1.09892983119638e-80	S100A11
chr2:215435675-215436125:-	300.2932412822	6.07568613370224	0.320993417942682	18.9277592439205	6.7367623632379e-80	3.99894213881802e-76	FN1
chr11:2131365-2133233:-	1177.01140502868	8.18561684270719	0.440389521592118	18.5872198164801	4.077738253627e-77	1.61369695156866e-73	IGF2;INS-IGF2
chr17:50201631-50201676:-	275.888794120759	7.26193113917455	0.392430234852264	18.5050245731153	1.8809311746728e-76	5.58260372642888e-73	COL1A1
chr2:188974187-188974545:+	2184.56693157248	8.27378811162398	0.472059351154561	17.52700818528	8.91379351099307e-69	2.11649113125019e-65	COL3A1;AC066694.1
chr12:91111437-91111803:-	372.669579896698	8.15567209361127	0.488963322386502	16.6795170930318	1.84705970500761e-62	3.65471546964173e-59	LUM
chrX:23783172-23783372:+	180.009821159554	4.18257695381099	0.262618128551418	15.9264593685203	4.15211903920836e-57	7.04199389049738e-54	SAT1
chr5:69167002-69167251:+	101.446679222347	-2.40484687100644	0.151565949829932	-15.8666697480857	1.07811620006111e-56	1.59992444089068e-53	CCNB1
chr2:47403072-47403202:+	61.3477673492308	-2.95972321475943	0.19518693547544	-15.1635313477825	6.1662811627912e-52	8.13400999607302e-49	MSH2
chrX:133985387-133985684:-	377.02408422353	4.92888126986238	0.337033588476491	14.6243028540349	1.96574067338418e-48	2.33372732744169e-45	GPC3
chrX:51893624-51893685:+	81.7767674678246	3.87162306373764	0.267758607198528	14.459378558341	2.18764039049267e-47	2.36106061053899e-44	MAGED1
chr4:78551612-78551833:+	66.5947603186004	2.91069061524897	0.207079979169428	14.0558765116907	7.08986258025792e-45	7.01423737940184e-42	ANXA3
chr10:94545765-94545858:+	35.9639095113376	-3.30863702081902	0.238307164521665	-13.88391753752	7.92891649878728e-44	7.24093051335405e-41	HELLS
chr2:231464355-231464632:-	251.945717181081	-1.80658624342704	0.131011642188857	-13.7895091859302	2.94758495299839e-43	2.49955204014263e-40	NCL
chr8:73008803-73009080:+	40.5502953814823	-5.23827840195836	0.385414044391399	-13.5913012983999	4.50989993844944e-42	3.56943547128478e-39	TERF1
chr7:130492083-130492302:+	254.776679404875	4.08867636809574	0.301698027117923	13.5522144680701	7.68754528040602e-42	5.70415859806127e-39	MEST
chr14:55191499-55191627:-	36.9641551003754	-2.9176731848196	0.219400949020539	-13.2983617338249	2.3659562743444e-40	1.65227252288333e-37	DLGAP5
chr2:70258095-70258211:+	57.0695475723564	3.04848015934046	0.23823115731564	12.7963117574139	1.71924685254248e-37	1.13393881296579e-34	PCYOX1
chr2:189580634-189580816:-	202.800409521302	8.09431817622438	0.635329748025393	12.7403418482789	3.52845364894297e-37	2.204726406329e-34	SLC40A1
chr12:52904692-52905232:-	499.264381219794	2.63379346890133	0.208153107696643	12.6531546804468	1.07471165019885e-36	6.37948835558038e-34	KRT8
chr13:30465795-30465981:-	234.912532592333	-1.55536466476845	0.123623452606128	-12.5814692275577	2.67017072046701e-36	1.50953651397068e-33	HMGB1
chr5:42811891-42811934:-	253.709483785066	7.73768646705194	0.615575763693313	12.5698361167236	3.09364521608296e-36	1.66944345478804e-33	SEPP1
chr1:226407925-226408222:-	68.2247733617552	-3.26359774524586	0.261532996814536	-12.4787227041956	9.75387803084103e-36	5.03469739052803e-33	PARP1
chr2:231708524-231708588:+	44.0063129034385	-2.84152800574087	0.227855716252463	-12.4707339033464	1.07828347397934e-35	5.33390891795113e-33	PTMA
chr1:26410712-26410882:+	39.3230193059994	-6.03726991601589	0.484393038078309	-12.4635769745309	1.17958637538806e-35	5.6016197794428e-33	LIN28A
chr8:11868030-11868119:-	166.657957108053	5.24536437045642	0.420982256903851	12.4598229128084	1.23644870860497e-35	5.64581502636854e-33	CTSB
chr6:31280291-31280532:+	106.234417041662	-2.50361460771798	0.202877581317503	-12.3405188067568	5.48016167596431e-35	2.4096473858166e-32	RPL3P2
chr8:61578143-61578749:+	232.146078364437	3.04617472928361	0.247057939454493	12.3297989775581	6.26027041679359e-35	2.65435465672048e-32	KRT8P3
chr7:92134210-92134836:-	271.268235728942	1.75598912927672	0.143575007668785	12.2304651609536	2.13711292000919e-34	8.74889813322382e-32	CYP51A1;LRRD1
chr6:18264473-18264594:-	67.4318659149073	-2.51580245529225	0.205993643751943	-12.2130101175441	2.64903774941881e-34	1.04831253870334e-31	DEK
chr1:223712367-223712690:+	86.5090334220484	5.19166081693274	0.425197336171567	12.2100031568352	2.74878507799309e-34	1.05269601438497e-31	CAPN2
chr1:93180227-93180529:-	237.792764466759	1.57941193268433	0.130818343705648	12.0733215843043	1.46115175263748e-33	5.42087300228505e-31	TMED5
chr11:62546696-62546952:-	114.060640032358	5.76225342510772	0.478414283199547	12.0444845136538	2.07368657007442e-33	7.46024453331015e-31	AHNAK
chr19:38264485-38264889:+	73.6183083747514	2.22807066175339	0.18521746548716	12.0294846703204	2.48708257825196e-33	8.68430716735509e-31	SPINT2
chr6:31862682-31862869:-	57.8133985049269	4.06528309518334	0.338465942307582	12.0109074120344	3.11409154313568e-33	1.05629985143162e-30	NEU1
chr5:151686912-151687029:-	53.630710363509	4.95030620031639	0.412812049181104	11.9916708103272	3.92899176697147e-33	1.29569417381903e-30	SPARC
chr2:162073997-162074369:-	127.09610698349	8.2584619645002	0.690456953814047	11.9608643506028	5.69658495912448e-33	1.8278339631007e-30	DPP4
chr19:20238335-20238505:-	80.2189859485184	-3.42158202277387	0.286427206374692	-11.9457298281152	6.83477338197416e-33	2.08057511771275e-30	CTC-260E6.6
chr2:47783062-47783262:+	59.2805370752171	-2.31631522402698	0.193892339420937	-11.9463988672513	6.77999038134257e-33	2.08057511771275e-30	MSH6
chr13:81689895-81689950:+	43.0931696420983	-2.75150050283512	0.231880960525788	-11.8660044213898	1.77756303414041e-32	5.27580708532874e-30	PTMAP5
chr5:83471390-83471848:+	77.1528709413335	2.64480006370215	0.223340171176289	11.8420257751774	2.36666452641917e-32	6.85293689210936e-30	VCAN
chr13:110307210-110307419:+	126.382963654111	4.73883263257511	0.404707709859552	11.7092719439905	1.14256492303442e-31	3.22965018244396e-29	COL4A2
chr11:65498960-65502402:+	6830.89224030437	3.31753548098296	0.284360975863483	11.6666341818142	1.88743788141299e-31	5.21108430886861e-29	MALAT1
chr11:62525091-62529519:-	77.5558176071306	5.4763418822767	0.472390449487238	11.5928293813329	4.48081974893658e-31	1.20900663771307e-28	AHNAK
chr6:137219326-137219455:-	48.858447646582	3.25667257392131	0.286878370407248	11.3521021793947	7.24007725185652e-30	1.91009326964535e-27	IFNGR1
chr5:135578948-135579036:-	99.014018449407	7.87309829521868	0.701841580411068	11.2177712392124	3.33571360675955e-29	8.60904172596726e-27	CXCL14
chr6:109382240-109382549:-	71.9222091246997	2.43713823763081	0.217422803545181	11.2092117197098	3.674512126485e-29	9.28166126928296e-27	CD164
chr2:197499830-197499915:-	47.2705270866337	-2.1548558138134	0.194819696613235	-11.0607697849531	1.94421695482288e-28	4.80869660159526e-26	HSPD1
chr14:74493262-74493423:-	53.3238924724559	2.40253009315694	0.219418334133288	10.9495412160841	6.67850143993618e-28	1.61810549173311e-25	NPC2
chr21:44873645-44873792:-	119.268074074627	2.22158249214658	0.203912109943878	10.8948041033856	1.22028885490644e-27	2.89745385708985e-25	PTTG1IP
chr1:113979391-113979573:+	30.4707833931935	4.7163096863802	0.437708725989119	10.7749958050812	4.5180271420327e-27	1.05172584765122e-24	OLFML3
chr1:157073180-157073185:+	64.15438090872	2.95105292155178	0.274289152867499	10.7589122307631	5.38014645665638e-27	1.22832882179663e-24	n/a
chr19:2427506-2427619:-	101.963936934293	-1.61651449014332	0.151424441934303	-10.6753868100413	1.32703672556972e-26	2.97256226527618e-24	TIMM13
chr1:62194711-62194921:+	37.385073985897	-4.40301725599765	0.412591034361889	-10.6716261123011	1.38186587791639e-26	3.03805772270804e-24	L1TD1
chr12:9695286-9695400:+	88.0846477532025	-2.05165886506902	0.193866251902058	-10.5828572272885	3.57875257583236e-26	7.72490010550578e-24	CLEC2D;RP11-75L1.2
chr22:38467992-38468238:+	56.0147335260445	5.34611410303954	0.508064186274454	10.5225171296597	6.80313886801793e-26	1.4422654400198e-23	KDELR3
chr6:52284685-52284820:-	48.8852679420679	-2.48049197724775	0.236653063414569	-10.4815544808834	1.05003442260641e-25	2.18701906406724e-23	MCM3
chr2:215380831-215381104:-	59.5530478625533	5.94248068395997	0.568214412810928	10.4581660548926	1.3443241112014e-25	2.75169238761775e-23	FN1
chr2:21005130-21012657:-	225.398168025872	7.62969218366035	0.730729683533347	10.4411964582689	1.60771467016629e-25	3.23504890918885e-23	APOB
chr8:47960904-47961012:+	35.7535516105981	-2.9870698395561	0.286781559592328	-10.4158365126487	2.0994372190925e-25	4.15408644417769e-23	MCM4
chr6:7313128-7313238:-	41.185695917401	2.22905477274232	0.214732505151637	10.3806117810074	3.03821934371448e-25	5.9130721391112e-23	SSR1
chr17:81860365-81860636:-	129.336909122335	2.06689301193239	0.199646996872595	10.3527378037716	4.06686733963689e-25	7.78739500905953e-23	P4HB
chr17:19387125-19387238:-	121.47021165175	6.90698743774218	0.669863702998673	10.3110340309869	6.28217175157894e-25	1.18384036563088e-22	MFAP4
chr8:61714469-61714654:-	56.0323110862708	2.43904505658938	0.240617275601139	10.1366165438282	3.80034942948828e-24	7.04964819170076e-22	ASPH
chr15:44711511-44711527:+	88.8803299186984	3.18166817229031	0.314020995624738	10.1320237073971	3.98319023439942e-24	7.16491431254393e-22	B2M
chrX:150983275-150983364:+	23.5066250531033	-3.54292642699003	0.349637650860967	-10.1331376019308	3.93806131645245e-24	7.16491431254393e-22	HMGB3
chr1:173867985-173868021:-	68.0786056056333	-1.91965710720985	0.189728274752941	-10.1179284411329	4.60049315089396e-24	8.15179920707658e-22	GAS5
chr13:29849625-29850390:-	50.2441635628026	2.99756838082237	0.297050264203472	10.0911150133471	6.04785928958321e-24	1.05588508067547e-21	UBL3
