feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
chr11:57597659-57597719:+	89.9761864198358	9.58636866231756	0.45884209168515	20.8925223645253	6.2623028807655e-97	6.22410283319283e-93	SERPING1
chr12:7060708-7060844:+	88.0141130629093	9.46229367450093	0.483714849211371	19.5617184172201	3.2784045843636e-85	1.62920315819949e-81	C1S
chr1:93180227-93180529:-	237.792764466759	2.80343827640006	0.158924953713247	17.6400131690985	1.21432662637912e-69	4.02306411319401e-66	TMED5
chr16:72054613-72054648:+	546.546015414206	16.4492392115996	1.07612031155359	15.2856878873069	9.52518662234632e-53	2.3667707459875e-49	HP
chr11:320718-320946:-	62.6271293964528	3.91146084225963	0.256648531103113	15.2405346932928	1.90306567863717e-52	3.78291395599497e-49	IFITM3
chr6:31946092-31946228:+	347.481873588069	15.7122066733629	1.05933431239533	14.8321511816558	9.07766214549402e-50	1.50371473440108e-46	XXbac-BPG116M5.17;CFB
chr1:159714463-159714607:-	307.608587738194	15.6250337327341	1.07594326413379	14.5221725471866	8.76864202525782e-48	1.24502190127196e-44	CRP
chr2:215435675-215436125:-	300.2932412822	5.30107435852223	0.367534564702459	14.4233355652244	3.69066141560623e-47	4.58518547621379e-44	FN1
chrX:23783172-23783372:+	180.009821159554	4.27943131911382	0.313099815130314	13.6679458508549	1.57786733677841e-42	1.7424914955823e-39	SAT1
chr11:57598197-57598301:+	102.671687943243	3.68435515949971	0.277170440403454	13.2927420187257	2.55057167988932e-40	2.535013192642e-37	SERPING1
chr11:18266224-18266269:+	147.326064895432	14.5615630195428	1.09883258774618	13.2518485362816	4.40224653063102e-40	3.97762984254016e-37	SAA1
chr16:56625781-56625789:+	20.8873778907689	8.67950582599474	0.65964130502158	13.1579174316726	1.5325196067956e-39	1.26930936432846e-36	MT1E
chr7:143263400-143263540:+	37.6713710011159	5.4992444241086	0.425028934039375	12.9385177894716	2.72842714534704e-38	2.0859874921234e-35	GSTK1
chr12:103930316-103930539:+	105.717953117955	3.3778840674767	0.262227635039362	12.8814953731694	5.72161163034036e-38	4.06193557099663e-35	HSP90B1;MIR3652
chr11:57599877-57600351:+	23.5119395803279	8.58531536773791	0.667434576409021	12.8631564368889	7.25523490448825e-38	4.80731864771391e-35	SERPING1
chr2:21005130-21012657:-	225.398168025872	10.101007501811	0.793120469337688	12.7357796101846	3.74090535094036e-37	2.32380364268727e-34	APOB
chr2:85561436-85561545:-	26.4658884606662	4.49002944363384	0.357739366879963	12.55111922066	3.91930779841785e-36	2.29141177696912e-33	GGCX
chr18:74291910-74292009:-	16.9250975356795	5.99734552182372	0.481639947393021	12.4519271175193	1.36508725076098e-35	7.53755676961852e-33	CYB5A
chr9:114322951-114323228:+	48.8359439058057	12.9525012783491	1.04812710815578	12.3577581168944	4.42321018001654e-35	2.31380452522023e-32	ORM1
chr17:28370161-28370477:-	129.064446972525	11.1654747968245	0.907093558260245	12.3090663528019	8.09542426745382e-35	4.02302108971118e-32	VTN
chr16:72060118-72060719:+	77.9674240044247	13.6399264106082	1.12102877513703	12.167329432682	4.64016668394777e-34	2.19612460341699e-31	HP
chr9:114329722-114329913:+	43.5312040797322	12.7871659616267	1.05222250422797	12.1525303918575	5.56171598204355e-34	2.51263159752413e-31	ORM2
chr4:154585543-154587050:-	155.811869607048	13.4181477866109	1.10695564986669	12.1216670136936	8.10927158032337e-34	3.50426305377539e-31	FGA
