feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
chr3:186613004-186613304:+	87.6909836187559	5.16968138621568	0.399911154817228	12.9270747363333	3.16638485417831e-38	3.10559026497808e-34	AHSG
chr11:116823162-116823386:-	62.9165027316646	5.47012736171458	0.477183985719307	11.4633506685454	2.01563013317489e-30	9.88465017308964e-27	APOA4
chr17:28370240-28370371:-	28.3533646145351	3.6135497538128	0.336326515995602	10.7441714582506	6.31261436045327e-27	2.06380405491086e-23	VTN
chr11:6440974-6441055:-	24.6251942856574	4.36659634822538	0.479211946700299	9.11203566249208	8.08504632734615e-20	1.98245335946528e-16	HPX
chr14:94388597-94388666:-	102.802554696494	4.15039223744882	0.495868423696651	8.36994662113801	5.76443400242768e-17	1.13075137391621e-13	SERPINA1
chr11:116822678-116822790:-	9.61303059613382	5.99653856599934	0.760751373709539	7.88238940241318	3.21179258921606e-15	5.25021028583851e-12	APOA4
chr11:46381647-46381736:+	51.5067836095029	-1.34885059506474	0.172093180657296	-7.83790845118276	4.58112805814629e-15	6.4188148563284e-12	MDK
chr1:230714110-230714125:-	13.5673756586023	3.79342883610885	0.494076229081694	7.6778209774622	1.61817410239222e-14	1.76345017736254e-11	AGT;RP11-99J16__A.2
chr4:165327603-165327857:+	143.467381041676	1.54834500633187	0.201408407285303	7.68758875163825	1.49933836215945e-14	1.76345017736254e-11	MSMO1
chr1:62597483-62597537:+	21.6025804192523	5.03196616108259	0.665335332288855	7.56305266965436	3.93718083465993e-14	3.64048683462088e-11	ANGPTL3
chr2:21043949-21044151:-	13.623352359022	2.9177908212526	0.386036696191449	7.55832502463852	4.08292773050874e-14	3.64048683462088e-11	APOB
chr2:21026812-21026968:-	13.6145212933003	4.30472471401109	0.582260838315525	7.39312079868639	1.43422066630329e-13	1.17223635792522e-10	APOB
chr10:93601199-93601253:-	59.6838729807932	2.98408235194185	0.410392604756226	7.27128685399778	3.56078884829223e-13	2.68647823261925e-10	RBP4
chrX:91779373-91779444:+	32.6617676443646	-2.39401698411806	0.329765385355594	-7.25975827188938	3.87782693909897e-13	2.71669475847733e-10	PCDH11X
chr6:52803814-52803878:-	14.4059013622278	3.43001562212881	0.47398636718546	7.23652800922589	4.60316635526774e-13	3.00985704083107e-10	GSTA1
chr2:21024953-21025128:-	18.7096064927049	3.8623923460654	0.536264132574226	7.20240663406814	5.91589505776173e-13	3.62644367040794e-10	APOB
chr2:21028346-21028539:-	10.7053703607236	3.83844894986722	0.542775009048401	7.07189698471348	1.52829863387377e-12	8.81738411825525e-10	APOB
chr1:54623472-54623526:-	8.93196587655653	4.02883196455915	0.575003682502315	7.00661941333381	2.44145195199639e-12	1.33032004139892e-09	FAM151A;RP11-240D10.4
chr2:21027854-21028065:-	8.8392830964975	3.87357444234171	0.55616033138197	6.96485208270157	3.28748977346441e-12	1.69703682621784e-09	APOB
chr2:21022862-21023042:-	25.7081732648263	4.00093439736921	0.578478950307528	6.91630074913227	4.63589680407637e-12	2.27344379271905e-09	APOB
chr11:116821670-116821880:-	6.49337791173829	5.39943470864553	0.784167998241996	6.88555860574567	5.75612107450303e-12	2.68838264279646e-09	APOA4
chr2:21005458-21007120:-	48.8506334094122	3.2154191890777	0.473338230285638	6.79306885297927	1.09772955732071e-11	4.89387795372797e-09	APOB
chrX:3347057-3347166:-	44.1131888772615	-2.19941465232148	0.325045959868339	-6.76647281883571	1.31959816447153e-11	5.62722556397251e-09	n/a
chr14:39233889-39233969:+	8.81225831099911	3.52870284977817	0.524590274820466	6.72658838554684	1.73687163172993e-11	7.09801540166963e-09	MIA2;RP11-407N17.3
chr7:92134293-92134515:-	209.46526054496	1.74087953912154	0.262198611475794	6.63954522612816	3.14652448576163e-11	1.234444486254e-08	CYP51A1;LRRD1
chr5:43313395-43313510:-	55.5040459200346	2.04861284693918	0.309254063602909	6.62436840141139	3.48736038822547e-11	1.31553964183521e-08	HMGCS1
chr14:69797194-69797288:-	3.65849797387615	5.2683653050782	0.797465680003288	6.6063849983569	3.93817927301093e-11	1.43058008554412e-08	SLC10A1
chr2:21023547-21023693:-	16.5877200691316	3.60747639485277	0.551465052701813	6.54162285928824	6.08548103079682e-11	2.13165706964483e-08	APOB
chr4:73450034-73450112:+	14.1182847891165	2.88073480626085	0.443063070024192	6.50186170132292	7.9332018769811e-11	2.68306358653209e-08	AFP
chr1:204151780-204151885:-	10.0585539463632	2.40658549901159	0.374844539787262	6.42022290194601	1.36074949520449e-10	4.44874368298855e-08	ETNK2
chr17:41918908-41919038:-	170.507676809776	1.1771335795424	0.185022216043261	6.36212020759263	1.98987608740942e-10	6.29571118235859e-08	ACLY
chr2:21002212-21002438:-	8.33074071661065	4.57675882057844	0.731391389864199	6.25760555019417	3.90933066692796e-10	1.19820984941342e-07	APOB
chr8:41263460-41264973:-	34.8886937066583	-1.66753833060611	0.267917333576498	-6.22407780917234	4.84396653259715e-10	1.43968556823372e-07	SFRP1
chrX:133985876-133985969:-	16.7325777232053	2.48404460504272	0.40024946078003	6.20624097831803	5.42669460897482e-10	1.56544178602427e-07	GPC3
chr10:93893958-93894032:+	14.9686442162307	1.8452508529549	0.299860660590581	6.15369435030471	7.56985094701387e-10	2.12128851680892e-07	SLC35G1
chr2:21007374-21007562:-	8.18960282399733	4.10057953483705	0.674210109080084	6.08204991235154	1.18655615667333e-09	3.1453358877438e-07	APOB
chr4:73452400-73452524:+	9.96283919169665	3.16932493294698	0.521067973547039	6.08236371038618	1.18423550258154e-09	3.1453358877438e-07	AFP
chr2:21019742-21019908:-	17.3458161686602	3.51925822200022	0.583529402014513	6.03098697315116	1.62961325234126e-09	4.20611757341132e-07	APOB
chr2:21007670-21007852:-	6.73959430914496	3.63998627265659	0.604300050716881	6.02347504081537	1.70711445650456e-09	4.29317399728122e-07	APOB
chr2:21013208-21013532:-	9.03761983616737	4.16329398480338	0.697114338706653	5.97218240056213	2.34100580078008e-09	5.74014622351276e-07	APOB
chr2:21019014-21019116:-	8.83688131376922	3.79007684448293	0.638221925916786	5.93849363454351	2.87652818942673e-09	6.8812167029018e-07	APOB
chr3:133755356-133755476:+	7.85944681922321	4.06947045749213	0.68877107543609	5.90830626114137	3.4564298993314e-09	8.07158677443867e-07	TF
chr1:45551034-45551101:+	75.2502756721813	1.57555368151391	0.266891271935075	5.90335408906586	3.56184652447029e-09	8.12432342139642e-07	AKR1A1
chr2:142877623-142877663:+	5.98512919592649	4.12602420569573	0.702611822184151	5.87240930969465	4.29506682361978e-09	9.57409441046883e-07	KYNU
chr3:133753592-133753680:+	6.52263833606052	4.4392916564966	0.762609461837477	5.82118617542498	5.84314366407342e-09	1.27354562349405e-06	TFP1;TF
chr4:73437157-73437193:+	77.0823194607549	2.91921750690564	0.50230644313264	5.81162664109962	6.18687032513116e-09	1.31914835106275e-06	AFP
chr2:21016464-21016651:-	8.03650938684066	3.54743269082448	0.611750959295076	5.7988183539789	6.6783822824581e-09	1.39365049843296e-06	APOB
chr7:35763037-35763322:+	14.1907486591352	3.61342066152673	0.626912912913272	5.76383192481251	8.22253027662055e-09	1.68013701985613e-06	n/a
chr2:21007974-21010186:-	72.3672062751299	4.06856363942862	0.706914604360151	5.7553820706692	8.64460526377223e-09	1.73033241687914e-06	APOB
chr8:69466623-69466860:+	10.2285413249485	-2.557987081469	0.445142093329942	-5.74645067226434	9.11362014953614e-09	1.78772772853301e-06	SULF1
chr1:155308819-155308974:+	131.11604226176	2.09298666368991	0.364515778847197	5.74182733682778	9.36602968998599e-09	1.80121606273299e-06	FDPS
chr3:133748410-133748554:+	6.35531910629549	3.74735903967466	0.656536188123928	5.7077722560623	1.14464436716283e-08	2.1589753756025e-06	TFP1;TF
chr2:21002576-21002807:-	7.24659812061453	3.9325560286192	0.690169597703218	5.69795604110376	1.21252303438156e-08	2.20230109652118e-06	APOB
chr3:133756838-133756988:+	8.44583676515286	3.3432800471459	0.586531410340146	5.70008696585754	1.19746324343675e-08	2.20230109652118e-06	TF
chr19:48965302-48965326:+	110.928579463579	0.938559471496356	0.164969971685808	5.68927461104183	1.27580159498694e-08	2.23447536493427e-06	FTL
chr22:20774075-20774126:+	15.636733623291	3.51338447166486	0.617541234946517	5.68931153555946	1.27552577806452e-08	2.23447536493427e-06	SERPIND1
chr2:21015091-21015261:-	7.08978601973842	3.26083935970579	0.574887877642237	5.67213101288433	1.41032051948898e-08	2.42674099213122e-06	APOB
chr2:21010451-21010636:-	5.91522658448223	3.789268013749	0.670651156315983	5.65013267786518	1.60324044903096e-08	2.71113488346478e-06	APOB
chr17:8056882-8056889:+	59.5936383814033	4.05554878945438	0.71950974283788	5.63654464699608	1.73496070250441e-08	2.88415162206157e-06	n/a
chr12:124863862-124863962:-	13.0714113406194	1.79789280762739	0.320368310730366	5.61195582524568	2.00052514100939e-08	3.27019176383668e-06	SCARB1
chr6:160702241-160702295:+	3.28637520746496	4.47713913004436	0.800802228488591	5.59081752119294	2.26002995726781e-08	3.63383177391519e-06	PLG
chr14:94581361-94581461:+	7.89946186998308	4.15969984229878	0.74553751270299	5.5794641737309	2.41260629360956e-08	3.75600675043215e-06	SERPINA5
chr3:120682198-120682257:-	8.6383030317327	4.24214269848824	0.760095818024417	5.58106306848799	2.39052934146563e-08	3.75600675043215e-06	HGD
chr1:147225302-147225402:-	6.52814459461587	3.58442386220936	0.645636001940057	5.55177197590996	2.82788314448589e-08	4.22016283451378e-06	FMO5
chr2:218419087-218419142:+	11.1493783804753	2.60633320629114	0.469522027627237	5.55103499501916	2.83983224997869e-08	4.22016283451378e-06	VIL1
chr2:21002914-21003153:-	6.68903551737875	3.62024367470087	0.651737769598689	5.5547550618864	2.78001305239947e-08	4.22016283451378e-06	APOB
chr6:31655883-31655917:+	15.7666034381229	3.16063356372982	0.571141379797502	5.53388998858815	3.13205462768047e-08	4.53835837696713e-06	APOM
chr9:120534323-120534351:-	2.49855169674881	4.7125909361332	0.852007400046951	5.53116197802215	3.18116397096949e-08	4.53835837696713e-06	CDK5RAP2
chrX:106038720-106038750:-	106.430751341559	4.98018416380431	0.90049058171907	5.53052332240605	3.19276843404091e-08	4.53835837696713e-06	SERPINA7
chr19:29811925-29812092:+	78.9045696115275	1.28088844941893	0.2319991225005	5.52109178523367	3.36899727563637e-08	4.72044646849164e-06	CCNE1
chr2:21005129-21005354:-	5.49485894404004	3.66197145250141	0.666714747676085	5.49256104693298	3.96146548796291e-08	5.32247308300551e-06	APOB
chr3:38136910-38137243:-	51.5392175831264	1.70375402119571	0.310065123680363	5.49482638025442	3.91094988635593e-08	5.32247308300551e-06	ACAA1
chr9:114078268-114078304:-	2.91916346491739	4.56948916127216	0.83136676345213	5.49635775947792	3.87715549244506e-08	5.32247308300551e-06	AMBP
chr2:162074028-162074320:-	77.6494493137062	2.12919204622311	0.387946411921703	5.48836638461509	4.05667955479574e-08	5.37674500992386e-06	DPP4
