feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
chr2:215435675-215436125:-	300.2932412822	5.68360873633567	0.333885409023817	17.0226328636309	5.58039381404635e-65	6.08541945421755e-61	FN1
chr11:2131365-2133233:-	1177.01140502868	7.10923943431419	0.464298209314988	15.3117959356401	6.37782386361747e-53	3.47750846163742e-49	IGF2;INS-IGF2
chr17:50201631-50201676:-	275.888794120759	6.01194540192131	0.404797676115498	14.8517290405738	6.77972065451294e-50	2.46442845791545e-46	COL1A1
chrX:133985387-133985684:-	377.02408422353	5.21695720754732	0.358296813774532	14.5604342739989	5.01382775046939e-48	1.36689479047172e-44	GPC3
chr2:47403072-47403202:+	61.3477673492308	-2.92722478538632	0.209083284652553	-14.0002812288447	1.55255154231905e-44	3.38611491379784e-41	MSH2
chr13:30465795-30465981:-	234.912532592333	-1.8749271849918	0.136162306137221	-13.7697960484181	3.87304985656811e-43	7.03926811431254e-40	HMGB1
chr10:94545765-94545858:+	35.9639095113376	-3.59388935702738	0.267242422175642	-13.4480496313768	3.16100152790928e-41	4.92438880883582e-38	HELLS
chr11:62546696-62546952:-	114.060640032358	6.56612530979315	0.490537973054989	13.3855596721706	7.34420613896784e-41	9.8933583004463e-38	AHNAK
chr16:68267926-68267958:+	34.0244648306068	5.19568007059591	0.388384087996088	13.3776852120889	8.16508250380713e-41	9.8933583004463e-38	SLC7A6
chr2:188974187-188974545:+	2184.56693157248	6.70763923035472	0.503692541305982	13.3169318190876	1.84536674675388e-40	2.01237243733511e-37	COL3A1;AC066694.1
chr2:55232637-55232844:+	115.664073033246	-3.35456048691061	0.255040229536363	-13.153064098981	1.63415513155549e-39	1.62004197360115e-36	RPS27A
chr5:69167002-69167251:+	101.446679222347	-2.07739424964723	0.15882235474291	-13.079986460407	4.28516515677097e-39	3.89414383621562e-36	CCNB1
chr9:75890632-75891251:+	230.925332131135	3.86426604304805	0.303354361327932	12.738455534749	3.61479994431019e-37	3.03226103020789e-34	PCSK5
chr19:20238335-20238505:-	80.2189859485184	-4.05688605719476	0.320871606971783	-12.6433313794309	1.21782578571223e-36	9.48599299513708e-34	CTC-260E6.6
chr8:11868030-11868119:-	166.657957108053	5.53208273847999	0.442414491989025	12.5042982059847	7.07216256912296e-36	5.14146218775239e-33	CTSB
chr17:81860365-81860636:-	129.336909122335	2.62056820772742	0.210110176336247	12.4723526171985	1.05659805619429e-35	7.20137612674922e-33	P4HB
chr11:130069821-130070033:+	214.287043422492	3.00930744195376	0.24390802843442	12.3378777700336	5.66288903471499e-35	3.63257676020982e-32	APLP2
chrX:23783172-23783372:+	180.009821159554	3.44195450781927	0.279577785369154	12.3112589338045	7.87845747881536e-35	4.77303215591564e-32	SAT1
chr1:223712367-223712690:+	86.5090334220484	5.25891797732151	0.431601530206268	12.1846601767334	3.75214047291252e-34	2.15353115037427e-31	CAPN2
chr8:73008803-73009080:+	40.5502953814823	-4.73825427372452	0.389448831604275	-12.1665643576487	4.68385259519603e-34	2.55387062753064e-31	TERF1
chr4:147732062-147732285:+	42.3267658131977	3.30116690066582	0.275023824545694	12.0032033810851	3.41806026035591e-33	1.77494986377054e-30	ARHGAP10
chr10:87094803-87095024:-	31.8592171745576	4.84815385992245	0.410418479441663	11.8127084982088	3.35574002808918e-32	1.66337931846875e-29	GLUD1
chr12:7936082-7936225:-	61.7788025401385	2.97626125955825	0.253624052153681	11.7349330013654	8.4393126056567e-32	4.00133495498636e-29	SLC2A3
chr13:110307210-110307419:+	126.382963654111	4.91466620609236	0.420925702599632	11.6758519989144	1.69360316571683e-31	7.69530938422583e-29	COL4A2
chr3:38136910-38137252:-	52.8524165369474	3.34844830642848	0.288680724042478	11.5991405991339	4.16237062239718e-31	1.81562606548965e-28	ACAA1
chr3:190120716-190121042:-	87.6249826491114	2.60415273400968	0.226562884024287	11.4941718950334	1.411279288965e-30	5.91923101775511e-28	P3H2
chrX:51893624-51893685:+	81.7767674678246	3.21568553728028	0.281095600878796	11.4398287530186	2.64406903109341e-30	1.06791010311384e-27	MAGED1
chr19:38264485-38264889:+	73.6183083747514	2.20855403616052	0.19377850175012	11.397311962957	4.31228716925768e-30	1.67948184216982e-27	SPINT2
chr12:91111437-91111803:-	372.669579896698	5.79773533106893	0.509814276702897	11.3722498486398	5.74864257308097e-30	2.16168783653269e-27	LUM
chr3:22381722-22381976:+	101.079793524185	-2.28452078909621	0.20281174982248	-11.2642427822641	1.97038422540238e-29	7.16234665933766e-27	HMGB1P5
chr13:81689895-81689950:+	43.0931696420983	-2.81634750042462	0.251268284209574	-11.2085276073904	3.70301959318241e-29	1.30262673108562e-26	PTMAP5
chr14:103521838-103522333:-	22.8333522958022	3.78564139455316	0.339322480898866	11.1564709315015	6.65824469995777e-29	2.26900495165748e-26	CKB
chr17:27294067-27294175:+	55.4755931731303	2.78590248394887	0.250430685773967	11.1244453743315	9.53973223575127e-29	3.15244787972326e-26	WSB1
chr1:153616256-153616412:-	129.244945220391	9.92913988353161	0.89410708996923	11.1050902010779	1.18497640044779e-28	3.80063754320092e-26	S100A14
chr6:52284685-52284820:-	48.8852679420679	-2.93848193331026	0.26703564771455	-11.0040811347082	3.6522003702558e-28	1.1379212867897e-25	MCM3
chr2:231708524-231708588:+	44.0063129034385	-2.52163417963763	0.235237314065593	-10.71953312192	8.24183054354337e-27	2.49658783548168e-24	PTMA
chr6:83193204-83193304:-	36.2506760485529	2.79420796481243	0.264277684377373	10.5730000298567	3.97569245421031e-26	1.17175476251793e-23	PGM3
chr2:162073997-162074369:-	127.09610698349	7.38649501855525	0.699071641506142	10.566148846549	4.27699264274617e-26	1.22738433603018e-23	DPP4
chr6:109382240-109382549:-	71.9222091246997	2.40385099703326	0.228875159437885	10.5028916328757	8.37738352317623e-26	2.34244531590351e-23	CD164
chr18:31042686-31043031:-	43.9535240250895	6.00165454018692	0.574533706879217	10.4461313032216	1.52624675568042e-25	4.16093021767374e-23	DSC3
chr12:52904692-52905232:-	499.264381219794	2.32634217348919	0.224188749803242	10.3767123708522	3.16486785714094e-25	8.41777658100535e-23	KRT8
chr4:74933047-74933179:+	30.5133907108776	3.6217440135884	0.350057460283224	10.3461414896232	4.35692765082579e-25	1.13124514362512e-22	PARM1
chr15:70763448-70763599:-	22.5422512379317	3.3857987122395	0.329922665862074	10.2624010490233	1.0408594265914e-24	2.57967546522255e-22	UACA
chr7:130492083-130492302:+	254.776679404875	3.32198910545149	0.323666533191311	10.2636162988403	1.02783881713537e-24	2.57967546522255e-22	MEST
chr8:38105902-38106061:+	22.0575785191584	4.00620881505309	0.390525888467115	10.2584974091684	1.08380000702622e-24	2.62640868369354e-22	ASH2L
