feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
chr2:215435675-215436125:-	300.417590694101	6.27877739818112	0.320899461047206	19.5661824351194	3.00355345674827e-85	3.56671972988857e-81	FN1
chr11:2131365-2133232:-	1177.5637645896	8.37116471966223	0.440198225653616	19.0168070469447	1.23796816369042e-80	7.35043597191185e-77	IGF2;INS-IGF2
chr1:152036972-152037060:-	416.345969066956	3.44904682665179	0.190371754567817	18.1174294184652	2.32192821029354e-73	9.19096583241192e-70	S100A11
chr17:50201631-50201676:-	276.029341288141	7.1037077770471	0.392520155487624	18.0976891956599	3.32320219656922e-73	9.86575652106486e-70	COL1A1
chr2:188974187-188974545:+	2185.59688434193	8.17764918242544	0.472224264618675	17.317299840636	3.48322916045408e-67	8.27266925607845e-64	COL3A1;AC066694.1
chr5:69167002-69167251:+	101.425531533766	-2.65405798790726	0.15628687038394	-16.9819638808251	1.11685437277577e-64	2.21044094611872e-61	CCNB1
chrX:23783172-23783372:+	180.037840432339	4.30992068374921	0.2618953397208	16.4566528306457	7.51423569159562e-61	1.27473641196711e-57	SAT1
chr12:91111437-91111803:-	372.83420694655	7.97650520230723	0.489654819302823	16.2900575831445	1.16119845628443e-59	1.72365395854721e-56	LUM
chr2:47403072-47403202:+	61.3296063678651	-3.05603725253995	0.19886957780015	-15.3670424925981	2.72319337460094e-53	3.59310236926513e-50	MSH2
chrX:133985387-133985684:-	377.150649179052	5.11545354807978	0.33641375492159	15.2058394558572	3.23457660185209e-52	3.84105971469936e-49	GPC3
chrX:51893624-51893685:+	81.8081730977442	3.97188744970476	0.267470921008483	14.8497916511036	6.97852032580343e-50	7.53362989717415e-47	MAGED1
chr13:30465795-30465981:-	234.971488705651	-1.80728373745912	0.125673554695156	-14.3807799647509	6.83202356364222e-47	6.76085665152095e-44	HMGB1
chr14:55191499-55191627:-	36.9524560305626	-3.35720308611583	0.240113904894332	-13.9817104202826	2.01584396978063e-44	1.84139593393423e-41	DLGAP5
